link,text,date,No_of_Likes,No_of_tweets
https://twitter.com/TrumpDownfall/status/1755441985912279076#m,"The #ConservativeParty of misinfo & dirty politics are angry that Bill C-372 will not allow false or misleading claims about fossil fuels  Imagine that  #canpoli #abpoli  ""Private Member's Bill C-372 (44-1) - First Reading - Fossil Fuel Advertising Act"" https://www.parl.ca/DocumentViewer/en/44-1/bill/C-372/first-reading","Feb 8, 2024 · 4:02 AM UTC",3,1
https://twitter.com/ukNukeShelters/status/1755437005331120251#m,Bunkers nuclear fallout shelters are not just for the rich. You can build your own (we can advise if needed) or we can build one for you. #bunker #WW3 #war #conscription #BBCQT #GBNews #itv #telegraph #times #LBC #ConservativeParty #Labour #LoveIsland #BBUK #GeneralElectionN0W,"Feb 8, 2024 · 3:42 AM UTC",0,0
https://twitter.com/rachief03/status/1755435161389289723#m,Thanks for helping Pierre's campaign! @JustinTrudeau #ConservativeParty for 2025 or sooner! @PierrePoilievre #Pierre4PM #LiberalSinkingShip,"Feb 8, 2024 · 3:35 AM UTC",0,0
https://twitter.com/DPaisley_Noah/status/1755427976739533039#m,London market downturn as ex-PM Truss critiques conservatives https://noah-news.com/gb/en/business/2024/02/08/london-market-downturn-as-ex-pm-truss-critiques-conservatives #Londonstockmarket #LizTruss #ConservativeParty,"Feb 8, 2024 · 3:06 AM UTC",0,1
https://twitter.com/News247Global/status/1755406013186855302#m,Rishi Sunak opens door to disgraced ex-PM Boris Johnson returning as Cabinet Minister #BorisJohnson #RishiSunak #ToryBrokenBritain #UKPolitics #UnitedKingdom #ConservativeParty https://www.mirror.co.uk/news/politics/rishi-sunak-opens-door-disgraced-32071693,"Feb 8, 2024 · 1:39 AM UTC",0,1
https://twitter.com/KLainey_Noah/status/1755399769545937042#m,Sunak open to future collaboration with Boris Johnson despite party tensions https://noah-news.com/gb/en/politics/2024/02/08/sunak-open-to-future-collaboration-with-boris-johnson-despite-party-tensions #RishiSunak #BorisJohnson #ConservativeParty,"Feb 8, 2024 · 1:14 AM UTC",0,1
https://twitter.com/pastime2/status/1755374933385912770#m,Can anybody give me a good reason to vote conservative at all he next election? #ConservativeParty #Reform #PopCon #PopCons #Conservatives,"Feb 7, 2024 · 11:36 PM UTC",0,0
https://twitter.com/jdleila1/status/1755371597634933186#m,I Want To Make Canada Great Again! Who Else? #PierrePoilievre #ConservativeParty,"Feb 7, 2024 · 11:22 PM UTC",3,1
https://twitter.com/MCY1X/status/1755370900575142000#m,He’s not wrong is he! #ConservativeParty #VoteConservative?,"Feb 7, 2024 · 11:20 PM UTC",1,0
https://twitter.com/Andy_Audioguy/status/1755368728932332003#m,#Sunak #ConservativeParty,"Feb 7, 2024 · 11:11 PM UTC",1,0
https://twitter.com/MacAyeRight/status/1755367836287951086#m,The last #14yrs when the @Conservatives #ConservativeParty have #Raped and #Pillaged all public #Services #VictoriaAtkins @VictoriaAtkins yep totally #Culpable and will be #Voted into #Extinction next #GeneralElection totally #Unqualified and #Patronisingly vacuous 🤮🤮🤮,"Feb 7, 2024 · 11:07 PM UTC",0,0
https://twitter.com/AFAWNF/status/1755367670340288578#m,"Is your Senator on here as a yea or nay? If they voted YEA,then primary them out!! #conservativeswanted #ConservativeParty #BorderInvasion","Feb 7, 2024 · 11:07 PM UTC",0,0
https://twitter.com/brian_welsh/status/1755364127856275939#m,"Criticise policies if you like, but #Starmer seems like a good person to me.  I don’t agree with everything he’s standing for but I trust him 100% more than the #ConservativeParty","Feb 7, 2024 · 10:53 PM UTC",1,0
https://twitter.com/cezza34/status/1755361641133162794#m,I'm not sure the sad faced house was the image Rishi was aiming for when he was illustrating how great life is with a conservative government. #ConservativeParty,"Feb 7, 2024 · 10:43 PM UTC",2,1
https://twitter.com/likeidbearsed/status/1755354746435649547#m,#rishisunaked #rishisaked #ConservativeParty #PMQs @RishiSunak @Conservatives #ElectionNow,"Feb 7, 2024 · 10:15 PM UTC",0,0
https://twitter.com/AilsaJanePodMed/status/1755353826381492340#m,When David Cameron and Michael McIntyre had that love child 😳#ConservativeParty #PMQs,"Feb 7, 2024 · 10:12 PM UTC",0,0
https://twitter.com/andywebb416/status/1755349583893327941#m,"@RishiSunak @KemiBadenoch just pack your bags, gather up your pals and go away, as far away as possible. @Conservatives if this crew reflect you, shut up shop, close the office. #RishiOut474 #ConservativeParty go forth, don't multiply.","Feb 7, 2024 · 9:55 PM UTC",0,0
https://twitter.com/shedoverheels/status/1755348154323480838#m,".@RishiSunak has been looking back through the TV archives for campaign ideas, hasn’t he? #PartyPoliticalBroadcast #Conservativeparty #Flipchart #Cringe","Feb 7, 2024 · 9:49 PM UTC",0,0
